id_question,question,choice_1,choice_2,choice_3,choice_4,correct_answer,type
123,"Two entries were on duty outside a barracks. One faced up the road to watch for anyone approaching from the North. The other looked down the road to see if anyone approached from the South. Suddenly one of them said to the other, ""Why are you smiling?"" How did he know that his companion was smiling?","Although the guards were looking in opposite directions, they were not back to back. They were facing each other.",One of the guards had an unusual vision so he can see what happend behind him.,The smiling guard's action is such big that even the guard behind him can see it.,None of above.,"Although the guards were looking in opposite directions, they were not back to back. They were facing each other.",original
184,"There were five men at church, and it started raining while they were outside. The four that ran still got wet, but the one that was still stayed completely dry. Why did he stay dry?",The man is an athlete that can avoid rain in high speed.,"
The man was lucky enough to avoid all the rain.","He was in a coffin the other men were at his funeral.
",None of above.,"He was in a coffin the other men were at his funeral.
",original
73,"On a Sunday afternoon, a woman spotted a bear in the distance. Rather than be afraid, she ran toward it excited. Why wasn't she afraid?","She was at the zoo.
",She become brave in sudden.,She tried to scare the bear.,None of above.,"She was at the zoo.
",original
186,"""The attorney is my brother,"" testified the accountant. But the attorney testified he did not have a brother. No one is lying, why?",The attorney was not loved by family and hadmoved away when he was young.,"The accountant was his sister.
",The attorney is angry about his brother not being a attorney and cut ties with him.,None of above.,"The accountant was his sister.
",original
166,A man has 9 children. Half of them are boys. How is this possible?,A man raises his children in both boy way and girl way.,One child is regarded as both boy and girl same time.,They are all boys.,None of above.,They are all boys.,original
146,"A guy bet his neighbor 50 bucks that his dog could jump higher than a house. Thinking this was not possible, the neighbor took the bet and lost.
Why did he lose the bet?",A house can not jump.,The height of the tiny house is lower than the dog.,That dog species were famous for their jumping ability.,None of above.,A house can not jump.,original
156,"You go to the doctor because you're ill, and he prescribes you three pills and tells you to take them every half hour. How long do the pills last you?",One and a half hours.,An hour.,Two hours.,None of above.,An hour.,original
190,"The teacher asked the two girls who looked exactly like the following questions: a.) Are you from the same family? b.) Do you have the same parents? c.) Were you born on the same day? They answered truthful ""yes"" to those questions, and yet told the truth when they indicated they were not twins. How can this be?
","They were triplets.
",Their parent raised them differently due to the lack of money.,One of the gril was not loved by their family.,None of above.,"They were triplets.
",original
4,"Romeo and Juliet are found dead on the floor in a bedroom. When they were discovered, there were pieces of glass and some water on the floor. The only furniture in the room is a shelf and a bed. The house is in a remote location, away from everything except for the nearby railroad track. What caused the death of Romeo and Juliet?",They were sleeping and scared by the sound of track.,The rumble of the train moved the shelf which crushed them.,"Romeo and Juliet are fish. The rumble of the train knocked the tank off the shelf, it broke and Romeo and Juliet did not survive.",None of above.,"Romeo and Juliet are fish. The rumble of the train knocked the tank off the shelf, it broke and Romeo and Juliet did not survive.",original
120,"A cop was walking past a restaurant when he heard someone scream - ""No John, not the gun!"" He ran inside and and saw a doctor, a lawyer, a mail man, and a dead body on the floor. He promptly walked over to the mail man and arrested him. He didn't witness the shooting and there was no apparent evidence to prove who shot the person and no one told him who the killer was. How did the policeman instantly know it was the mail man?",The dead man was the relative of both doctor and lawyer.,The policeman thought a doctor or a lawyer wouldn't have the name John.,The mail man was the only male. The doctor and lawyer were females.,None of above.,The mail man was the only male. The doctor and lawyer were females.,original
205,"There was a farmer who had a problem with his chicken coop, and he wanted to go check it out. When he got there he noticed that there was a rooster on top of the barn. Now the barn was shaped with a triangle-type top. But suddenly the rooster laid an egg. Which side did it roll on?",It is possible the egg would roll down the middle of the triangle-shaped top of the barn.," There is a hole in the roof. Furthermore, the egg dropped into the hole.",It didn't because rosters don't lay eggs.,None of above.,It didn't because rosters don't lay eggs.,original
19,"Two mothers and two daughters go shopping. They have $21, which they split equally between them. How can this be possible?",One mother give his $7 to his son.,Two daughters share the $7.,"They are one daughters, one mother and one grandmother.",None of above.,"They are one daughters, one mother and one grandmother.",original
157,"In a certain city, 5% of all the persons in town have unlisted phone numbers. If you select 100 names at random from that city's phone directory, how many people selected will have unlisted phone numbers?",One hundred people.,Five people.,Ninty-five people.,None of above.,None of above.,original
90,"If an essential assistant captain of a sports team were resigned, who would lead the team?",The captain.,The first officer.,The second officer.,None of above.,The captain.,original
191,"How many times can you subtract 10 from 100? 
",Infinite time.,Twice.,Once.,None of above.,Once.,original
