Question ID,Correct Answer
122,4
4,3
147,4
90,4
157,4
123,4
146,1
191,2
157,4
147,2
205,2
120,4
184,3
73,4
146,4
186,2
186,1
19,3
166,3
156,3
146,1
16,4
205,2
73,1
156,4
191,4
190,1
4,3
90,4
120,4
30,4
4,4
122,4
205,3
184,4
19,3
157,4
184,1
19,4
30,4
73,4
47,4
47,4
90,4
191,4
166,4
186,4
166,4
190,4
16,4
47,4
120,4
156,4
123,4
30,4
190,4
16,4
122,4
123,4
147,2
182,4
139,4
181,4
42,4
117,2
189,3
79,4
121,2
14,3
3,1
189,4
72,1
187,4
14,3
60,4
60,3
121,4
59,4
79,4
139,4
189,4
183,4
182,4
33,4
183,4
60,4
142,3
187,4
158,4
121,3
158,4
72,4
141,4
117,4
78,4
181,4
3,2
33,4
78,4
72,3
33,4
187,4
139,4
79,4
3,4
42,4
141,4
59,2
142,3
142,4
42,4
117,2
14,4
182,4
183,4
158,4
141,4
59,4
181,4
78,4
