id_question,correct_answer
122,1
4,3
147,3
90,2
157,4
123,1
146,1
191,2
157,4
147,2
205,2
120,1
184,3
73,1
146,1
186,2
186,1
19,3
166,3
156,1
146,2
16,3
205,3
73,1
156,1
191,2
190,1
4,3
90,1
120,3
30,4
4,3
122,3
205,3
184,1
19,3
157,4
184,1
19,3
30,3
73,1
47,2
47,1
90,1
191,4
166,1
186,3
166,3
190,1
16,2
47,1
120,1
156,1
123,1
30,2
190,1
16,2
122,2
123,2
147,2
182,4
139,2
181,2
42,2
117,3
189,4
79,3
121,2
14,3
3,1
189,4
72,1
187,4
14,3
60,3
60,2
121,1
59,2
79,2
139,1
189,4
183,3
182,3
33,3
183,4
60,2
142,3
187,4
158,2
121,3
158,3
72,1
141,4
117,1
78,3
181,2
3,2
33,3
78,1
72,1
33,3
187,4
139,1
79,2
3,3
42,2
141,3
59,2
142,3
142,2
42,2
117,1
14,3
182,3
183,3
158,3
141,3
59,1
181,2
78,3
