id_question,question,choice_1,choice_2,choice_3,choice_4,correct_answer,type
122,"In a small village, two farmers are working in their fields - a diligent farmer and a lazy farmer. The hardworking farmer is the son of the lazy farmer, but the lazy farmer is not the father of the hardworking farmer. Can you explain this unusual relationship?",The lazy farmer is his mother.,The lazy farmer is not a responsible father as he is lazy.,The diligent farmer devoted himself to the farm and gradually forgot his father.,None of above.,The lazy farmer is his mother.,context reconstruction
147,How many years in your life it happens that before your birthday you'd be one year younger than tomorrow,In ech leap year.,In the first year of graduation.,It happens every year.,None of above.,It happens every year.,context reconstruction
191,How many times can you divide 100 by 10?,Infinite time.,Once.,Two times.,None of above.,Once.,context reconstruction
157,"In a city, there are so many criminals that police cannot catch all of them and fit them in their prisons. This number is approximately 10% of the population of the city but no names are available. To start catching the rest of the criminals poilce starts checking the list of criminals they have in the prisons namebook with 200 names, and go out searching for the rest wandering in the city. How many can they find?",Twenty people.,Eighty people.,Two hundred people.,None of above.,None of above.,context reconstruction
205,"A conscientious farmer formerly provided food for his roosters each day, but throughout the years, not a single egg was produced for him. How is it even imaginable?",His neighbor always stolen eggs away from him.,Because roosters don't lay eggs.,Roosters will eat their own eggs once they were laid.,None of above.,Because roosters don't lay eggs.,context reconstruction
120,"Mark was in a playground where somebody noticed a great player playing and with the announcements, gathered a lot of people. There were many great players from basketball, volleyball, football, and even swimmers, But Mark directly went to the footballer and took a photo with him. How did he know who was the person that people got excited for in the first place?",Since the playground was a football playground and the other players could've not been playing in the playground at the time of the announcement,"Since Mark was a crazy fan of football, only a football player can be considered as great player in his mind.","Since Mark stood closest to the football players, he only focused on football players and didn't notice others.",None of above.,Since the playground was a football playground and the other players could've not been playing in the playground at the time of the announcement,context reconstruction
146,A man bet his friend that he can jump the distance from one house to another one. He won the bet. How?,He is a jumping athlete.,Two houses were wall-to-wall next to each other,"One house is much higher than another, providing him enough time to fly in the air.",None of above.,Two houses were wall-to-wall next to each other,context reconstruction
16,"A group of students plan to go trekking in the afternoon, but one of them forgets to bring their rubber boots. But how is it possible that his feet are still dry after a lengthy stroll around the park?",The ground is not wet.,The one is walking on his hands.,"By walking on stilts, the one elevates his feet above the wet ground.",None of above.,The ground is not wet.,context reconstruction
73,"James was surrounded by several hungry bears, but the bears approached me just took a look and left. How is that possible？","James was at the zoo.
",It is too cold outside.,James is not healthy.,None of above.,"James was at the zoo.
",context reconstruction
90,"If the vise coach of a sports team is unable to attend a game, who is supposed to lead the team?",The coach.,The captain.,The team's management,None of above.,The coach.,context reconstruction
30,Why do old people consume more food than young people.,Older adults may have specific dietary requirements to address age-related issues,Older people require increased nutrient intake to support overall health and well-being.,Because older people live longer.,None of above.,Because older people live longer.,context reconstruction
4,A sudden wave knocked Jack out of the water when he was swimming on the beach; he died five minutes later. How is that possible?,Jack needs to to go to the hospital but no one is welling to help.,Jack is so scared of the water.,Jack is a fish in the ocean.,None of above.,Jack is a fish in the ocean.,context reconstruction
184,"Five people were at a football match, and a sudden shower started. The four that rushed to take cover still got soaked, but the one who didn't move stayed completely dry. Why didn't he get wet?",The man is an excellent football player that can avoid rain in high speed.,"
The man was lucky enough to avoid all the rain.",He was a photograph the other people were there to honor a former player.,None of above.,He was a photograph the other people were there to honor a former player.,context reconstruction
19,"Shopping is done by Jack, Tom and their parents. They divided the $40 they have equally amongst themselves. How is that possible?",Jack and Tom are the parents themselves.,Each kid's parents pooled $10 for division.,Jack and Tom are brothers who share the same parents.,None of above.,Jack and Tom are brothers who share the same parents.,context reconstruction
47,"Tom and John bet $100 on John correctly predicting the outcome of the forthcoming basketball game. Tom agrees, but he loses the bet. What caused Tom to lose the bet?","John said the score would be 0-0 and he was right. ""Before"" any basketball game starts, the score is always 0-0.",John possesses an extraordinary ability to see into the future.,Tom gave his money to show his kindness.,None of above.,"John said the score would be 0-0 and he was right. ""Before"" any basketball game starts, the score is always 0-0.",context reconstruction
166,A farmer has 11 sheep. Half of them are white. How is this possible?,One sheep is regarded as both white and other colors same time.,A famer raises his sheep in both white way and another way.,They are all white.,None of above.,They are all white.,context reconstruction
186,"The officer arrested James and said I don't have a brother anymore, however, James also didn't have a brother. How's that possible?",The officer was not loved by family and had moved away when he was young.,The officer is angry about his brother and cut ties with him.,Officer was actually his sister so the whole story makes sense,None of above.,Officer was actually his sister so the whole story makes sense,context reconstruction
190,"The coach asked the two boys who looked remarkably similar the following questions: a.) Do you live in the same house? b.) Do you have the same mother and father? c.) Were you both born on the same date? The boys responded truthfully with ""yes"" to these inquiries, yet were honest when they said they weren't twins. How could this be?","They were triplets.
",Their parent raised them differently due to the lack of money.,One of the boys was not loved by their family.,None of above.,"They were triplets.
",context reconstruction
156,"A driver is told to make a stop every half an hour for the engine to cool down, for five times. How long do the stops take ?",Three hours.,Two and a half hours.,Two hours.,None of above.,Two hours.,context reconstruction
123,"Two fishes in a tank were swimming in the opposite directions, but they were seeing each other every couple of few minutes. How's that possible?",Water in the tank can reflect each other in some degree.,The fish tank was like a ring.,Fish had an unusual vision so they can see what happend behind them.,None of above.,The fish tank was like a ring.,context reconstruction
182,"When you put a white shirt on a stone that is red and wet, it will become red, if you do the same thing for yelllowstone, what will happen ?",White.,Red.,Yellow.,None of above.,None of above.,context reconstruction
3,"On Friday, the man rode out of town to pick some berries. 2 hours later, he rode back on Sunday. How is that possible?",His horse was called Sunday.,The man was too exhausted that he forgot his way home.,Next week is a national holiday.,None of above.,His horse was called Sunday.,context reconstruction
189,How can you toss a fragile glass ball against a sturdy brick wall from a distance without shattering it?,"No problem, because sturdy bricks are very hard to crack",You need to throw the glass ball hard.,You need to throw the glass ball gently.,None of above.,"No problem, because sturdy bricks are very hard to crack",context reconstruction
60,"A man jumped off a 50-story building, but he didn't get hurt at all. How is this possible?",He get medical attention.,"He jumped off the ground floor, not from the top of the building.",The building is not so tall for the man.,None of above.,"He jumped off the ground floor, not from the top of the building.",context reconstruction
