id_question,question,choice_1,choice_2,choice_3,choice_4,correct_answer,type
4,"Romeo and Juliet are discovered dead on the bedroom floor. Glass shards and some water were on the floor when they were found. A bookcase and a bed are the sole pieces of furniture in the space. Other than the neighboring railroad track, the house is located in a rural area. How is that even doable?",They were sleeping and scared by the sound of track.,"The rumble of the train moved the shelf which 
crushed them.","Romeo and Juliet are fish. The rumble of the train knocked the tank off the shelf, it broke and Romeo and Juliet did not survive.",None of above.,"Romeo and Juliet are fish. The rumble of the train knocked the tank off the shelf, it broke and Romeo and Juliet did not survive.",semantic reconstruction
90,Who would serve as the team's captain if a crucial assistant captain departed from a sporting organization?,The first officer.,The captain.,The second officer.,None of above.,The captain.,semantic reconstruction
157,"In one city, 5% of the population has an unlisted phone number. How many persons will have unlisted phone numbers if you pick 100 names at random from that city's phone directory?",One hundred people.,Ninty-five people.,Five people.,None of above.,None of above.,semantic reconstruction
146,"A man wagered $50 on his dog's ability to jump higher than a house. The neighbor took the wager, thinking it was impossible, and lost.
Why did he fail to win the bet?",A house can not jump.,That dog species were famous for their jumping ability.,The height of the tiny house is lower than the dog.,None of above.,A house can not jump.,semantic reconstruction
147,When did Christmas and New Year's Day fall on the same year?,In the period of BC.,It happens every year.,In the first year of each century.,None of above.,It happens every year.,semantic reconstruction
186,"""The attorney is my brother,"" the accountant testified. However, the attorney claimed that he did not have a brother. No one is lying, why?","The accountant was his sister.
",The attorney is angry about his brother not being a attorney and cut ties with him.,The attorney was not loved by family and had moved away when he was young.,None of above.,"The accountant was his sister.
",semantic reconstruction
19,Shopping is done by two mothers and two daughters. They divide the $21 they have equally amongst themselves. How is this even conceivable?,One mother give his $7 to his son.,Two daughters share the $7.,"They are one daughters, one mother and one grandmother.",None of above.,"They are one daughters, one mother and one grandmother.",semantic reconstruction
156,"You go to the doctor because you're sick, and he gives you three medicines to take every half hour.
How long do the drugs keep you going?",One and a half hours.,Two hours.,An hour.,None of above.,An hour.,semantic reconstruction
205,"There was a farmer who wanted to go investigate a problem with his chicken coop. As soon as he arrived, he saw a rooster perched atop the barn. Now the barn had a top that resembled a triangle. However, the rooster unexpectedly laid an egg. How did it roll on that side?",It is possible the egg would roll down the middle of the triangle-shaped top of the barn.,It didn't because rosters don't lay eggs.," There is a hole in the roof. Furthermore, the egg dropped into the hole.",None of above.,It didn't because rosters don't lay eggs.,semantic reconstruction
191,how many times can you deduct 10 from 100?,Once.,Infinite time.,Twice.,None of above.,Once.,semantic reconstruction
122,"A large dog and a slim dog are sitting on a porch. The small dog is the fat dog's kid, but the fat dog is not the thin dog's father. Could you please explain?",The fat dog was the father when it is thin.,The fat dog is not a responsible father as he eats all the food.,The fat dog is the mother.,None of above.,The fat dog is the mother.,semantic reconstruction
184,"There were five guys in church, and it began to rain while they were outside. The four that fled got wet, while the one that remained dry kept entirely dry. Why didn't he drink?","He was in a coffin the other men were at his funeral.
","
The man was lucky enough to avoid all the rain.",The man is an athlete that can avoid rain in high speed.,None of above.,"He was in a coffin the other men were at his funeral.
",semantic reconstruction
30,Why do white sheep consume more food than black sheep?,Because there are less black sheep in the world than white.,Black sheep do not need food. ,"Black absorbs more heat from sunlight, black sheep may eat less to avoid overheating or to regulate their body temperature.",None of above.,Because there are less black sheep in the world than white.,semantic reconstruction
73,A woman spotted a bear in the distance on a Sunday afternoon. She ran in excitement toward it as opposed to being afraid. Why didn't she feel fear?,She tried to scare the bear.,"She was at the zoo.
",She become brave in sudden.,None of above.,"She was at the zoo.
",semantic reconstruction
47,"Tom and John made a $100 wager that John could correctly predict the outcome of the upcoming football game. Tom concurs, but he loses the wager. What led Tom to lose the wager?",John possesses an extraordinary ability to see into the future.,"John said the score would be 0-0 and he was right. ""Before"" any football game starts, the score is always 0-0.",Tom gave his money to show his kindness.,None of above.,"John said the score would be 0-0 and he was right. ""Before"" any football game starts, the score is always 0-0.",semantic reconstruction
166,A man has nine kids. Males make up half of them. How is that even possible?,One child is regarded as both boy and girl same time.,A man raises his children in both boy way and girl way.,They are all boys.,None of above.,They are all boys.,semantic reconstruction
120,"When a cop was going through a restaurant, he heard someone yell, ""No John, not the gun!"" He dashed inside, where he discovered a doctor, a lawyer, a priest, and a dead corpse on the floor. He quickly approached the man and arrested him. He was not present when the shooting occurred, there was no obvious evidence to indicate who shot the guy, and no one notified him who the killer was. How did the cop recognize the milan so quickly?","The mail man was the only male. The doctor and lawyer were females, so the cop knew that ""John"" was the mail man.",The policeman think a doctor or a lawyer won't have name John.,The dead man was the relative of both doctor and lawyer.,None of above.,"The mail man was the only male. The doctor and lawyer were females, so the cop knew that ""John"" was the mail man.",semantic reconstruction
190,"The teacher questioned the two girls who had the same appearance: Are you related to each other? b.) Do your parents look alike? c.) Did you share the same birthday? They genuinely replied ""yes"" to those inquiries, and they were honest when they said they weren't identical twins. How is this possible?","They were triplets.
",One of the gril was not loved by their family.,Their parent raised them differently due to the lack of money.,None of above.,"They were triplets.
",semantic reconstruction
